mode,recall_at_1,recall_at_3,recall_at_5,mrr,ndcg,abstention_accuracy,latency_p50_ms,latency_p95_ms,answer_success_proxy,answer_success_definition,evaluation_id
keyword,0.7692307692307693,0.8846153846153846,0.9230769230769231,0.8346153846153845,0.8655738269802108,0.25,4.925649998767767,6.614924994210013,0.8,gold evidence present in top 3 or correct abstention; NOT generated answer quality,43194a56ce2344f8bcfbd645d5072145
dense,0.7692307692307693,0.9230769230769231,0.9615384615384616,0.8477564102564101,0.8849231131539246,0.5,73.1511999911163,82.75562499620719,0.8666666666666667,gold evidence present in top 3 or correct abstention; NOT generated answer quality,bd0ae4010ccc4ad49bb225d69935abdd
hybrid,0.6923076923076923,1.0,1.0,0.8269230769230769,0.871332644917588,0.25,96.89690000232076,108.43270999612287,0.9,gold evidence present in top 3 or correct abstention; NOT generated answer quality,448c02187d644557a5a73017d7272d75
hybrid_rerank,0.8461538461538461,0.9230769230769231,1.0,0.9038461538461539,0.927815870126527,0.25,94.06610000587534,104.49948500026949,0.8333333333333334,gold evidence present in top 3 or correct abstention; NOT generated answer quality,75c3808b08dd4ff08fb78fc4830db472
